person_id,string,abr,era_prefix_only,string_simp
16327,欽明天皇,,,钦明天皇
16328,敏達天皇,,,敏达天皇
16329,用明天皇,,,用明天皇
16330,崇峻天皇,,,崇峻天皇
16331,推古天皇,,,推古天皇
16332,舒明天皇,,,舒明天皇
16333,皇極天皇,,,皇极天皇
16335,斉明天皇,,,齐明天皇
16336,天智天皇,,,天智天皇
16337,弘文天皇,,,弘文天皇
16339,持統天皇,,,持统天皇
16345,淳仁天皇,,,淳仁天皇
16382,仲恭天皇,,,仲恭天皇
16411,正天皇,,,正天皇
16415,東山天皇,,,东山天皇
16427,東明聖王,,,东明圣王
16428,琉璃明王,,,琉璃明王
16429,大武神王,,,大武神王
16430,閔中王,,,闵中王
16431,慕本王,,,慕本王
16432,太祖王,,,太祖王
16433,次大王,,,次大王
16434,大王,,,大王
16435,故國川王,,,故国川王
16436,山上王,,,山上王
16437,東川王,,,东川王
16438,中川王,,,中川王
16439,西川王,,,西川王
16440,烽上王,,,烽上王
16441,美川王,,,美川王
16442,故國原王,,,故国原王
16443,小獸林王,,,小兽林王
16444,故國壤王,,,故国壤王
16445,廣開土好太王,,,广开土好太王
16446,長壽王,,,长寿王
16447,文咨王,,,文咨王
16448,安藏王,,,安藏王
16449,安原王,,,安原王
16450,阳原王,,,阳原王
16451,平原太王,,,平原太王
16452,嬰陽王,,,婴阳王
16453,榮留王,,,荣留王
16454,寶藏王,,,宝藏王
16455,報德王,,,报德王
16456,溫祚王,,,温祚王
16457,多婁王,,,多娄王
16458,己婁王,,,己娄王
16459,蓋婁王,,,盖娄王
16460,肖古王,,,肖古王
16461,仇首王,,,仇首王
16462,沙伴王,,,沙伴王
16463,古爾王,,,古尔王
16464,責稽王,,,责稽王
16465,汾西王,,,汾西王
16466,比流王,,,比流王
16467,契王,,,契王
16468,近肖古王,,,近肖古王
16469,近仇首王,,,近仇首王
16470,枕流王,,,枕流王
16471,辰斯王,,,辰斯王
16472,阿莘王,,,阿莘王
16473,腆支王,,,腆支王
16474,久爾辛王,,,久尔辛王
16475,毗有王,,,毗有王
16476,蓋鹵王,,,盖卤王
16477,文周王,,,文周王
16478,三斤王,,,三斤王
16479,東城王,,,东城王
16480,武寧王,,,武宁王
16481,聖王,,,圣王
16482,威德王,,,威德王
16483,惠王,,,惠王
16484,法王,,,法王
16485,武王,,,武王
16486,義慈王,,,义慈王
16487,末王扶餘豐,,,末王扶余丰
16488,始祖,,,始祖
16489,南解王,,,南解王
16490,儒理王,,,儒理王
16491,脫解王,,,脱解王
16492,婆娑王,,,婆娑王
16493,祇摩王,,,只摩王
16494,逸聖王,,,逸圣王
16495,阿達羅王,,,阿达罗王
16496,伐休王,,,伐休王
16497,奈解王,,,奈解王
16498,助賁王,,,助贲王
16499,沾解王,,,沾解王
16500,味鄒王,,,味邹王
16501,儒禮王,,,儒礼王
16502,基臨王,,,基临王
16503,訖解王,,,讫解王
16504,奈勿王,,,奈勿王
16505,實聖王,,,实圣王
16506,訥祗王,,,讷祗王
16507,慈悲王,,,慈悲王
16508,炤智王,,,照智王
16509,智證王,,,智证王
16545,渤海太祖,,,渤海太祖
16546,渤海光宗,,,渤海光宗
16547,渤海世宗,,,渤海世宗
16548,渤海廢王,,,渤海废王
16549,渤海仁宗,,,渤海仁宗
16550,渤海穆宗,,,渤海穆宗
16551,渤海毅宗,,,渤海毅宗
16552,渤海康宗,,,渤海康宗
16553,渤海哲宗,,,渤海哲宗
16554,渤海聖宗,,,渤海圣宗
16555,渤海莊宗,,,渤海庄宗
16556,渤海順宗,,,渤海顺宗
16557,渤海明宗,,,渤海明宗
16558,渤海王大瑋瑎,,,渤海王大玮瑎
16559,渤海哀王,,,渤海哀王
16560,渤海王大光顯,,,渤海王大光显
16561,王弓裔,,,王弓裔
16562,王甄萱,,,王甄萱
16563,王甄神劍,,,王甄神剑
16617,成宗,,,成宗
